:START_ID;:END_ID;:TYPE
783225;data processing;COVERS
783225;data management;COVERS
783225;computer vision;COVERS
783225;data querying;COVERS
1054868;query optimization;COVERS
1054868;data storage;COVERS
1054868;data processing;COVERS
1054868;data querying;COVERS
1054869;data querying;COVERS
1054869;data processing;COVERS
1054870;data processing;COVERS
1054870;data querying;COVERS
1054870;data management;COVERS
1054870;query optimization;COVERS
1054871;data modeling;COVERS
1054871;distributed systems;COVERS
1054871;data storage;COVERS
1054871;big data;COVERS
1054871;data querying;COVERS
1054872;distributed systems;COVERS
1054872;query optimization;COVERS
1054872;data storage;COVERS
1054873;data processing;COVERS
1054873;data management;COVERS
1054873;distributed systems;COVERS
1054874;data storage;COVERS
1054874;indexing;COVERS
1054875;machine learning;COVERS
1054875;data mining;COVERS
1054875;data management;COVERS
1054875;big data;COVERS
1054875;data querying;COVERS
1054876;data storage;COVERS
1054876;data management;COVERS
1054876;nosql;COVERS
1054876;query optimization;COVERS
1054876;distributed systems;COVERS
1054877;data mining;COVERS
1054877;indexing;COVERS
1054877;data storage;COVERS
1054878;computer vision;COVERS
1054878;machine learning;COVERS
1054879;machine learning;COVERS
1054879;nosql;COVERS
1054879;data querying;COVERS
1054880;big data;COVERS
1054880;distributed systems;COVERS
1054880;nosql;COVERS
1054880;query optimization;COVERS
1054881;data modeling;COVERS
1054881;data querying;COVERS
1054881;nosql;COVERS
1054881;query optimization;COVERS
1054881;big data;COVERS
1054882;data modeling;COVERS
1054882;nosql;COVERS
1054882;data mining;COVERS
1054882;big data;COVERS
1054883;machine learning;COVERS
1054883;data mining;COVERS
1054883;nosql;COVERS
1054884;query optimization;COVERS
1054884;data mining;COVERS
1054885;data processing;COVERS
1054885;data storage;COVERS
1054886;data storage;COVERS
1054886;data querying;COVERS
1054887;distributed systems;COVERS
1054887;big data;COVERS
1054888;data processing;COVERS
1054888;data querying;COVERS
1054888;machine learning;COVERS
1054888;data modeling;COVERS
1054889;query optimization;COVERS
1054889;machine learning;COVERS
1054889;indexing;COVERS
1054890;nosql;COVERS
1054890;distributed systems;COVERS
